resource,activity,timestamp,role,travel_permit_number,Task,OrganizationalEntity,RequestedAmount,Permit_TaskNumber,Permit_BudgetNumber,Permit_ProjectNumber,project,case,OrganizationalEntity.1,RequestedBudget,Permitid,ActivityNumber
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/10/12 6:11:06.00,ADMINISTRATION,travel permit number 55853,task 6489,organizational unit 65454,65.3014619,task 427,budget 1469,project 6486,project 503,request for payment 55856,organizational unit 65460,2683.621722,travel permit 55852,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/10/15 9:28:23.00,SUPERVISOR,travel permit number 55853,task 6489,organizational unit 65454,65.3014619,task 427,budget 1469,project 6486,project 503,request for payment 55856,organizational unit 65460,2683.621722,travel permit 55852,UNKNOWN
SYSTEM,Request Payment,2018/10/22 9:11:49.00,UNDEFINED,travel permit number 55853,task 6489,organizational unit 65454,65.3014619,task 427,budget 1469,project 6486,project 503,request for payment 55856,organizational unit 65460,2683.621722,travel permit 55852,UNKNOWN
SYSTEM,Payment Handled,2018/10/25 15:31:43.00,UNDEFINED,travel permit number 55853,task 6489,organizational unit 65454,65.3014619,task 427,budget 1469,project 6486,project 503,request for payment 55856,organizational unit 65460,2683.621722,travel permit 55852,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/5/28 21:44:34.00,EMPLOYEE,travel permit number 70356,task 8523,organizational unit 65468,424.3091439,task 427,budget 1327,project 8099,project 503,request for payment 70359,organizational unit 65466,2046.507125,travel permit 70355,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/5/28 21:44:45.00,ADMINISTRATION,travel permit number 70356,task 8523,organizational unit 65468,424.3091439,task 427,budget 1327,project 8099,project 503,request for payment 70359,organizational unit 65466,2046.507125,travel permit 70355,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/5/29 12:07:28.00,SUPERVISOR,travel permit number 70356,task 8523,organizational unit 65468,424.3091439,task 427,budget 1327,project 8099,project 503,request for payment 70359,organizational unit 65466,2046.507125,travel permit 70355,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/6/11 9:51:28.00,EMPLOYEE,travel permit number 70356,task 8523,organizational unit 65468,424.3091439,task 427,budget 1327,project 8099,project 503,request for payment 70359,organizational unit 65466,2046.507125,travel permit 70355,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/6/11 9:51:30.00,ADMINISTRATION,travel permit number 70356,task 8523,organizational unit 65468,424.3091439,task 427,budget 1327,project 8099,project 503,request for payment 70359,organizational unit 65466,2046.507125,travel permit 70355,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/6/11 10:00:50.00,SUPERVISOR,travel permit number 70356,task 8523,organizational unit 65468,424.3091439,task 427,budget 1327,project 8099,project 503,request for payment 70359,organizational unit 65466,2046.507125,travel permit 70355,UNKNOWN
SYSTEM,Request Payment,2018/6/12 7:56:52.00,UNDEFINED,travel permit number 70356,task 8523,organizational unit 65468,424.3091439,task 427,budget 1327,project 8099,project 503,request for payment 70359,organizational unit 65466,2046.507125,travel permit 70355,UNKNOWN
SYSTEM,Payment Handled,2018/6/14 15:31:33.00,UNDEFINED,travel permit number 70356,task 8523,organizational unit 65468,424.3091439,task 427,budget 1327,project 8099,project 503,request for payment 70359,organizational unit 65466,2046.507125,travel permit 70355,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/10/18 7:34:14.00,EMPLOYEE,travel permit number 33625,task 33628,organizational unit 65454,345.814163,task 427,budget 1114,project 14357,project 503,request for payment 33626,organizational unit 65460,923.6489396,travel permit 33624,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/10/18 7:34:19.00,ADMINISTRATION,travel permit number 33625,task 33628,organizational unit 65454,345.814163,task 427,budget 1114,project 14357,project 503,request for payment 33626,organizational unit 65460,923.6489396,travel permit 33624,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/10/18 8:17:32.00,EMPLOYEE,travel permit number 33625,task 33628,organizational unit 65454,345.814163,task 427,budget 1114,project 14357,project 503,request for payment 33626,organizational unit 65460,923.6489396,travel permit 33624,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/10/18 8:17:37.00,ADMINISTRATION,travel permit number 33625,task 33628,organizational unit 65454,345.814163,task 427,budget 1114,project 14357,project 503,request for payment 33626,organizational unit 65460,923.6489396,travel permit 33624,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/10/23 8:07:58.00,BUDGET OWNER,travel permit number 33625,task 33628,organizational unit 65454,345.814163,task 427,budget 1114,project 14357,project 503,request for payment 33626,organizational unit 65460,923.6489396,travel permit 33624,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/10/24 7:46:20.00,BUDGET OWNER,travel permit number 33625,task 33628,organizational unit 65454,345.814163,task 427,budget 1114,project 14357,project 503,request for payment 33626,organizational unit 65460,923.6489396,travel permit 33624,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/10/26 8:21:36.00,SUPERVISOR,travel permit number 33625,task 33628,organizational unit 65454,345.814163,task 427,budget 1114,project 14357,project 503,request for payment 33626,organizational unit 65460,923.6489396,travel permit 33624,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/10/26 8:21:36.00,SUPERVISOR,travel permit number 33625,task 33628,organizational unit 65454,345.814163,task 427,budget 1114,project 14357,project 503,request for payment 33626,organizational unit 65460,923.6489396,travel permit 33624,UNKNOWN
SYSTEM,Request Payment,2018/10/30 7:02:19.00,UNDEFINED,travel permit number 33625,task 33628,organizational unit 65454,345.814163,task 427,budget 1114,project 14357,project 503,request for payment 33626,organizational unit 65460,923.6489396,travel permit 33624,UNKNOWN
SYSTEM,Payment Handled,2018/11/1 16:31:17.00,UNDEFINED,travel permit number 33625,task 33628,organizational unit 65454,345.814163,task 427,budget 1114,project 14357,project 503,request for payment 33626,organizational unit 65460,923.6489396,travel permit 33624,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/1/17 8:52:57.00,EMPLOYEE,travel permit number 9256,task 9260,organizational unit 65454,244.9436786,task 427,budget 1469,project 9257,project 503,request for payment 9258,organizational unit 65460,800.1493502,travel permit 9255,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/1/17 8:53:00.00,ADMINISTRATION,travel permit number 9256,task 9260,organizational unit 65454,244.9436786,task 427,budget 1469,project 9257,project 503,request for payment 9258,organizational unit 65460,800.1493502,travel permit 9255,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/1/17 10:48:56.00,SUPERVISOR,travel permit number 9256,task 9260,organizational unit 65454,244.9436786,task 427,budget 1469,project 9257,project 503,request for payment 9258,organizational unit 65460,800.1493502,travel permit 9255,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/3/13 18:28:43.00,EMPLOYEE,travel permit number 9256,task 9260,organizational unit 65454,244.9436786,task 427,budget 1469,project 9257,project 503,request for payment 9258,organizational unit 65460,800.1493502,travel permit 9255,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/3/13 18:28:47.00,ADMINISTRATION,travel permit number 9256,task 9260,organizational unit 65454,244.9436786,task 427,budget 1469,project 9257,project 503,request for payment 9258,organizational unit 65460,800.1493502,travel permit 9255,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/3/14 8:12:21.00,SUPERVISOR,travel permit number 9256,task 9260,organizational unit 65454,244.9436786,task 427,budget 1469,project 9257,project 503,request for payment 9258,organizational unit 65460,800.1493502,travel permit 9255,UNKNOWN
SYSTEM,Request Payment,2018/3/23 12:59:14.00,UNDEFINED,travel permit number 9256,task 9260,organizational unit 65454,244.9436786,task 427,budget 1469,project 9257,project 503,request for payment 9258,organizational unit 65460,800.1493502,travel permit 9255,UNKNOWN
SYSTEM,Payment Handled,2018/3/26 15:31:14.00,UNDEFINED,travel permit number 9256,task 9260,organizational unit 65454,244.9436786,task 427,budget 1469,project 9257,project 503,request for payment 9258,organizational unit 65460,800.1493502,travel permit 9255,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/1/28 21:03:02.00,EMPLOYEE,travel permit number 2571,task 2575,organizational unit 65454,1002.586859,task 427,budget 994,project 2572,project 503,request for payment 2576,organizational unit 65460,2401.286815,travel permit 2570,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/1/28 21:03:04.00,ADMINISTRATION,travel permit number 2571,task 2575,organizational unit 65454,1002.586859,task 427,budget 994,project 2572,project 503,request for payment 2576,organizational unit 65460,2401.286815,travel permit 2570,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/1/29 7:20:57.00,SUPERVISOR,travel permit number 2571,task 2575,organizational unit 65454,1002.586859,task 427,budget 994,project 2572,project 503,request for payment 2576,organizational unit 65460,2401.286815,travel permit 2570,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/1/29 13:26:01.00,DIRECTOR,travel permit number 2571,task 2575,organizational unit 65454,1002.586859,task 427,budget 994,project 2572,project 503,request for payment 2576,organizational unit 65460,2401.286815,travel permit 2570,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/2/7 12:02:12.00,EMPLOYEE,travel permit number 2571,task 2575,organizational unit 65454,1002.586859,task 427,budget 994,project 2572,project 503,request for payment 2576,organizational unit 65460,2401.286815,travel permit 2570,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/2/7 12:02:31.00,ADMINISTRATION,travel permit number 2571,task 2575,organizational unit 65454,1002.586859,task 427,budget 994,project 2572,project 503,request for payment 2576,organizational unit 65460,2401.286815,travel permit 2570,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/2/8 7:38:25.00,SUPERVISOR,travel permit number 2571,task 2575,organizational unit 65454,1002.586859,task 427,budget 994,project 2572,project 503,request for payment 2576,organizational unit 65460,2401.286815,travel permit 2570,UNKNOWN
SYSTEM,Request Payment,2018/2/9 7:58:38.00,UNDEFINED,travel permit number 2571,task 2575,organizational unit 65454,1002.586859,task 427,budget 994,project 2572,project 503,request for payment 2576,organizational unit 65460,2401.286815,travel permit 2570,UNKNOWN
SYSTEM,Payment Handled,2018/2/12 16:31:22.00,UNDEFINED,travel permit number 2571,task 2575,organizational unit 65454,1002.586859,task 427,budget 994,project 2572,project 503,request for payment 2576,organizational unit 65460,2401.286815,travel permit 2570,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/3/21 17:54:51.00,EMPLOYEE,UNKNOWN,UNKNOWN,organizational unit 65461,914.307235,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,request for payment 185731,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by ADMINISTRATION,2018/3/21 17:58:05.00,ADMINISTRATION,UNKNOWN,UNKNOWN,organizational unit 65461,914.307235,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,request for payment 185731,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by EMPLOYEE,2018/3/22 13:48:16.00,EMPLOYEE,UNKNOWN,UNKNOWN,organizational unit 65461,914.307235,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,request for payment 185731,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/12/21 14:36:03.00,EMPLOYEE,UNKNOWN,UNKNOWN,organizational unit 65458,34.64718471,UNKNOWN,UNKNOWN,UNKNOWN,project 147546,request for payment 186629,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/12/21 14:41:00.00,ADMINISTRATION,UNKNOWN,UNKNOWN,organizational unit 65458,34.64718471,UNKNOWN,UNKNOWN,UNKNOWN,project 147546,request for payment 186629,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2019/1/8 14:16:20.00,SUPERVISOR,UNKNOWN,UNKNOWN,organizational unit 65458,34.64718471,UNKNOWN,UNKNOWN,UNKNOWN,project 147546,request for payment 186629,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Request Payment,2019/1/8 14:57:32.00,UNDEFINED,UNKNOWN,UNKNOWN,organizational unit 65458,34.64718471,UNKNOWN,UNKNOWN,UNKNOWN,project 147546,request for payment 186629,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Payment Handled,2019/1/10 16:31:09.00,UNDEFINED,UNKNOWN,UNKNOWN,organizational unit 65458,34.64718471,UNKNOWN,UNKNOWN,UNKNOWN,project 147546,request for payment 186629,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/1/25 10:53:38.00,EMPLOYEE,travel permit number 7648,UNKNOWN,organizational unit 65469,413.3376474,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 7649,organizational unit 65454,1589.760182,travel permit 7647,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/1/25 11:05:27.00,ADMINISTRATION,travel permit number 7648,UNKNOWN,organizational unit 65469,413.3376474,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 7649,organizational unit 65454,1589.760182,travel permit 7647,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/1/25 12:13:12.00,SUPERVISOR,travel permit number 7648,UNKNOWN,organizational unit 65469,413.3376474,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 7649,organizational unit 65454,1589.760182,travel permit 7647,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/1/25 12:20:03.00,DIRECTOR,travel permit number 7648,UNKNOWN,organizational unit 65469,413.3376474,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 7649,organizational unit 65454,1589.760182,travel permit 7647,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/3/12 16:41:20.00,EMPLOYEE,travel permit number 7648,UNKNOWN,organizational unit 65469,413.3376474,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 7649,organizational unit 65454,1589.760182,travel permit 7647,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/3/12 16:41:41.00,ADMINISTRATION,travel permit number 7648,UNKNOWN,organizational unit 65469,413.3376474,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 7649,organizational unit 65454,1589.760182,travel permit 7647,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/3/13 8:25:22.00,SUPERVISOR,travel permit number 7648,UNKNOWN,organizational unit 65469,413.3376474,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 7649,organizational unit 65454,1589.760182,travel permit 7647,UNKNOWN
SYSTEM,Request Payment,2018/3/13 11:25:57.00,UNDEFINED,travel permit number 7648,UNKNOWN,organizational unit 65469,413.3376474,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 7649,organizational unit 65454,1589.760182,travel permit 7647,UNKNOWN
SYSTEM,Payment Handled,2018/3/15 16:31:16.00,UNDEFINED,travel permit number 7648,UNKNOWN,organizational unit 65469,413.3376474,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 7649,organizational unit 65454,1589.760182,travel permit 7647,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017/6/15 7:33:06.00,EMPLOYEE,travel permit number 86373,UNKNOWN,organizational unit 65463,833.7919411,UNKNOWN,budget 899,UNKNOWN,project 503,request for payment 86374,organizational unit 65455,1400.261275,travel permit 86372,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017/6/15 7:33:08.00,SUPERVISOR,travel permit number 86373,UNKNOWN,organizational unit 65463,833.7919411,UNKNOWN,budget 899,UNKNOWN,project 503,request for payment 86374,organizational unit 65455,1400.261275,travel permit 86372,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017/6/15 8:06:20.00,EMPLOYEE,travel permit number 86373,UNKNOWN,organizational unit 65463,833.7919411,UNKNOWN,budget 899,UNKNOWN,project 503,request for payment 86374,organizational unit 65455,1400.261275,travel permit 86372,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017/6/15 8:11:53.00,SUPERVISOR,travel permit number 86373,UNKNOWN,organizational unit 65463,833.7919411,UNKNOWN,budget 899,UNKNOWN,project 503,request for payment 86374,organizational unit 65455,1400.261275,travel permit 86372,UNKNOWN
SYSTEM,Request Payment,2017/6/15 13:27:54.00,UNDEFINED,travel permit number 86373,UNKNOWN,organizational unit 65463,833.7919411,UNKNOWN,budget 899,UNKNOWN,project 503,request for payment 86374,organizational unit 65455,1400.261275,travel permit 86372,UNKNOWN
SYSTEM,Payment Handled,2017/6/19 15:31:16.00,UNDEFINED,travel permit number 86373,UNKNOWN,organizational unit 65463,833.7919411,UNKNOWN,budget 899,UNKNOWN,project 503,request for payment 86374,organizational unit 65455,1400.261275,travel permit 86372,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/5/23 13:14:16.00,EMPLOYEE,travel permit number 38426,task 7757,organizational unit 65465,317.38848,task 427,budget 7753,project 7754,project 503,request for payment 38427,organizational unit 65464,1293.749454,travel permit 38425,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/5/23 13:14:22.00,ADMINISTRATION,travel permit number 38426,task 7757,organizational unit 65465,317.38848,task 427,budget 7753,project 7754,project 503,request for payment 38427,organizational unit 65464,1293.749454,travel permit 38425,UNKNOWN
